id_hospedaje,codigo reserva,artista,fecha inicio,fecha termino,lugar,nombre hotel,tipo traslado
0,DUE-45195,Paulo Londra,18/4/2019,23/4/2019,BILBAO,Hotel Ilunion,TERRESTRE
1,VJA-35509,Lali Esposito,16/4/2019,17/4/2019,AUCKLAND,Hilton Auckland,TERRESTRE
2,YOP-65177,Niall Horan,5/5/2020,9/5/2020,COLOGNE,StadHotel,AEREO
3,NOA-92813,Bon Jovi,9/1/2018,12/1/2018,SANTIAGO,Almasur Hotel,AEREO
4,OFF-75731,Bon Jovi,6/3/2022,10/3/2022,SYDNEY,Sydney Grand Hotel,AEREO
5,KBV-35422,Maria Becerra,9/12/2018,13/12/2018,MADRID,Riu Plaza España,TERRESTRE
6,TLF-66089,Marshmello,7/4/2018,7/4/2018,FRANKFURT,The Flag,MIXTO
7,QSX-53771,My Chemical Romance,30/6/2019,4/7/2019,BOSTON,Boston Park Plaza,TERRESTRE
8,UZF-33353,Armin Van Buuren,19/2/2020,20/2/2020,TORONTO,DoubleTree by Hamilton ,TERRESTRE
9,NJS-90641,Soda Stereo,30/3/2019,2/4/2019,MADRID,Lotus Opera House,TERRESTRE
10,SDV-98120,R3hab,9/1/2018,13/1/2018,SANTIAGO,Sheraton Santiago,TERRESTRE
11,OFN-32107,Sech,17/9/2022,17/9/2022,NUEVA YORK,Park Lane NYC,AEREO
12,VGW-13539,RBD,10/5/2021,15/5/2021,AUCKLAND,Heritage Homestay,TERRESTRE
13,NVN-73735,Eminem,24/8/2019,25/8/2019,FRANKFURT,The Flag,MIXTO
14,ISX-23696,Gustavo Cerati,30/5/2018,3/6/2018,VIÑA DEL MAR,Sheraton Miramar,TERRESTRE
15,QYA-71542,Nicki Minaj,16/10/2019,19/10/2019,SANTIAGO,Courtyard by Marriot,TERRESTRE
16,TIS-96949,Shakira,13/5/2021,14/5/2021,NUEVA YORK,Millenium Hotel,TERRESTRE
17,VQO-43444,EXO,8/11/2019,12/11/2019,MIAMI,The Altair Bay Hotel,MIXTO
18,QZY-59757,Sech,1/10/2022,2/10/2022,AUCKLAND,Heritage Homestay,TERRESTRE
19,ESI-16041,Francisca Valenzuela,16/7/2022,21/7/2022,PHILADELPHIA,Phili Hotel,AEREO
20,JOV-74815,Shawn Mendes,22/6/2020,22/6/2020,BARCELONA,Barcelo Sants,TERRESTRE
21,FIP-22102,Tini Stoessel,4/9/2022,9/9/2022,MIAMI,Ivory on the Bay,MIXTO
